script_name,point_index,axis,v_percent,a_percent,t_rel_sec,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
x_calibrate,1,z,100,100,0.02087633499468211,-100.0199966430664,-450.02001953125,499.9999694824219,-169.90000915527344,2.326273715880234e-06,172.0
x_calibrate,1,z,100,100,0.030097033995843958,-100.01995086669922,-450.0199279785156,500.0,-169.90000915527344,-7.279362307599513e-06,172.0
x_calibrate,1,z,100,100,0.04010952099633869,-100.02000427246094,-450.0199890136719,499.9999084472656,-169.90000915527344,1.4479261153610423e-05,171.99998474121094
x_calibrate,1,z,100,100,0.05009176999737974,-100.0199203491211,-450.01995849609375,500.0000305175781,-169.89999389648438,-1.2207435247546528e-05,172.00001525878906
x_calibrate,1,z,100,100,0.060076784997363575,-100.01997375488281,-450.01995849609375,500.00006103515625,-169.8999786376953,-2.2225109205464832e-05,172.0
x_calibrate,1,z,100,100,0.07013227399875177,-100.01990509033203,-450.0199890136719,500.0000305175781,-169.89999389648438,1.24232874441077e-05,172.0
x_calibrate,1,z,100,100,0.08007857600023272,-100.01998138427734,-450.0199279785156,500.0,-169.89999389648438,-3.0276512461568927e-06,172.00001525878906
x_calibrate,1,z,100,100,0.09008168499713065,-100.01994323730469,-450.0199890136719,500.0,-169.90000915527344,-9.296339158026967e-06,172.00001525878906
x_calibrate,1,z,100,100,0.10012095199635951,-100.01996612548828,-450.01995849609375,499.99993896484375,-169.90000915527344,-5.8548680499370676e-06,172.00001525878906
x_calibrate,1,z,100,100,0.11021684699517209,-100.0199966430664,-450.0200500488281,500.0001220703125,-169.89996337890625,-5.963927378616063e-06,172.0
x_calibrate,1,z,100,100,0.12007402000017464,-100.01990509033203,-450.02001953125,500.0,-169.89999389648438,1.3865009350411128e-05,172.00001525878906
x_calibrate,1,z,100,100,0.13009301899728598,-100.02002716064453,-450.0200500488281,500.0,-169.89999389648438,-9.826714631344657e-06,172.00001525878906
x_calibrate,1,z,100,100,0.14013535299454816,-100.01997375488281,-450.0199279785156,499.9999084472656,-169.89999389648438,5.770350526290713e-07,171.99998474121094
x_calibrate,1,z,100,100,0.15016059399931692,-100.02001190185547,-450.0199890136719,500.0001220703125,-169.8999786376953,-1.5631680071237497e-05,172.0
x_calibrate,1,z,100,100,0.1600865669970517,-100.02002716064453,-450.0199890136719,499.9998779296875,-169.9000244140625,1.2975430763617624e-05,172.0
x_calibrate,1,z,100,100,0.17012730799615383,-100.02000427246094,-450.0199890136719,500.0,-169.89999389648438,6.640093943133252e-06,172.0
x_calibrate,2,x,5,100,0.01995201600220753,-100.0002670288086,-449.9951477050781,499.9485168457031,-169.9056396484375,0.0033207826782017946,172.0
x_calibrate,2,x,5,100,0.030028273999050725,-100.00072479248047,-449.9957580566406,499.94915771484375,-169.9055633544922,0.0032537898514419794,172.00001525878906
x_calibrate,2,x,5,100,0.040027135000855196,-100.00384521484375,-449.9997253417969,499.9561462402344,-169.9047393798828,0.002793391700834036,172.00001525878906
x_calibrate,2,x,5,100,0.04999193100229604,-100.0076675415039,-450.00439453125,499.96466064453125,-169.9037628173828,0.002212901134043932,172.0
x_calibrate,2,x,5,100,0.060017593001248315,-100.009033203125,-450.0061950683594,499.96795654296875,-169.9033660888672,0.0019777407869696617,172.00001525878906
x_calibrate,2,x,5,100,0.07012213500274811,-100.00823211669922,-450.00518798828125,499.96539306640625,-169.9036102294922,0.002124254358932376,172.0
x_calibrate,2,x,5,100,0.08012467300432036,-100.0032730102539,-449.9989013671875,499.949951171875,-169.905029296875,0.002941243350505829,172.0
x_calibrate,2,x,5,100,0.09035996100283228,-99.99442291259766,-449.9876708984375,499.9197082519531,-169.9075469970703,0.004424229264259338,171.99998474121094
x_calibrate,2,x,5,100,0.1000170760016772,-100.00308990478516,-449.998779296875,499.93670654296875,-169.9051513671875,0.0030411009211093187,172.00001525878906
x_calibrate,2,x,5,100,0.11002823000308126,-100.00757598876953,-450.0045166015625,499.94708251953125,-169.9038543701172,0.0022678927052766085,172.00001525878906
x_calibrate,2,x,5,100,0.12001241400139406,-100.01189422607422,-450.00970458984375,499.956787109375,-169.90267944335938,0.00157623877748847,172.0
x_calibrate,2,x,5,100,0.13000507299875608,-100.01371002197266,-450.0119934082031,499.961181640625,-169.90213012695312,0.0012578334426507354,172.0
x_calibrate,2,x,5,100,0.14001431399810826,-100.01220703125,-450.0101623535156,499.9555969238281,-169.902587890625,0.0015307191060855985,171.99998474121094
x_calibrate,2,x,5,100,0.15003077800065512,-100.00982666015625,-450.007080078125,499.9440612792969,-169.90325927734375,0.0019221382681280375,172.0
x_calibrate,2,x,5,100,0.16002255600324133,-100.01355743408203,-450.0117492675781,499.9515380859375,-169.90223693847656,0.001330806640908122,171.99998474121094
x_calibrate,2,x,5,100,0.1700204950029729,-100.01942443847656,-450.0174255371094,499.9616394042969,-169.9010009765625,0.0005785906105302274,171.99986267089844
x_calibrate,2,x,5,100,0.18010553999920376,-100.032958984375,-450.025634765625,499.97735595703125,-169.89918518066406,-0.0004791210521943867,171.99920654296875
x_calibrate,2,x,5,100,0.19005913499859162,-100.09535217285156,-450.04925537109375,500.0260314941406,-169.89370727539062,-0.0039832452312111855,171.9966278076172
x_calibrate,2,x,5,100,0.19997636200423585,-100.1409912109375,-450.0556335449219,500.03936767578125,-169.89215087890625,-0.005186719819903374,171.9955291748047
x_calibrate,2,x,5,100,0.21002198199857958,-100.19852447509766,-450.0584411621094,500.0435485839844,-169.89149475097656,-0.005973020102828741,171.99595642089844
x_calibrate,2,x,5,100,0.2200832710004761,-100.27275848388672,-450.0580139160156,500.041015625,-169.8914794921875,-0.006276621017605066,171.995849609375
x_calibrate,2,x,5,100,0.23001731000113068,-100.36644744873047,-450.05596923828125,500.03515625,-169.89170837402344,-0.006269731558859348,171.99534606933594
x_calibrate,2,x,5,100,0.23998580300394678,-100.63142395019531,-450.05169677734375,500.0216369628906,-169.891845703125,-0.005551836919039488,171.99485778808594
x_calibrate,2,x,5,100,0.25024263199884444,-100.81260681152344,-450.05078125,500.0172119140625,-169.8916473388672,-0.005508045200258493,171.9944305419922
x_calibrate,2,x,5,100,0.26008810300118057,-101.14962005615234,-450.049560546875,500.0105895996094,-169.8914031982422,-0.00580793060362339,171.99400329589844
x_calibrate,2,x,5,100,0.26999299700401025,-101.41912078857422,-450.0486145019531,500.00445556640625,-169.89134216308594,-0.005903827492147684,171.993896484375
x_calibrate,2,x,5,100,0.27999282000382664,-102.07803344726562,-450.0456237792969,499.9929504394531,-169.89175415039062,-0.00581942405551672,171.99346923828125
x_calibrate,2,x,5,100,0.2900927720038453,-102.46992492675781,-450.0436096191406,499.9884033203125,-169.89244079589844,-0.005621989257633686,171.99374389648438
x_calibrate,2,x,5,100,0.30004299100255594,-102.9083023071289,-450.0412902832031,499.9839782714844,-169.8929443359375,-0.005553200840950012,171.99415588378906
